ProductName,Price,Image,OS,Processor,Graphics,Display,Memory ,Storage
Acer Chromebook 311 - CB311-12HT-C488,$299.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-wp-pure-silver-01-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Chrome OS,Intel N100 (Quad-core),Intel UHD (shared),"11.6"" HD (1366 x 768), 16:9, IPS, 60 Hz, Touchscreen",8 GB LPDDR5,64 GB SSD
Aspire 1 Laptop - A115-32-C7ZW,$159.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-wp-pure-silver-02-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,"Intel Celeron N4500 (Dual-core, 1.10 GHz)",Intel UHD (shared),"15.6"" Full HD (1920 x 1080), 16:9",4 GB DDR4 SDRAM,64 GB Flash Memory
Aspire Go 15 Laptop - AG15-31P-C1KN,$299.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-wp-pure-silver-03-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,Intel N100 (Quad-core),Intel UHD (shared),"15.6"" Full HD (1920 x 1080), 16:9, 60 Hz",4 GB LPDDR5,128 GB SSD
Acer Chromebook 311 - CB311-12H-C5Y7,$169.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-wp-pure-silver-04-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Chrome OS,Intel N100 (Quad-core),Intel UHD (shared),"11.6"" HD (1366 x 768), 16:9, IPS, 60 Hz",4 GB LPDDR5,64 GB eMMC Flash Memory
Aspire Go 14 Laptop - AG14-21P-R3FZ,$249.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-pure-silver-05-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,"AMD Ryzen 3 7320U (Quad-core, 2.40 GHz)",AMD Radeon (shared),"14"" WUXGA (1920 x 1200), 16:10, 60 Hz",8 GB LPDDR5,128 GB SSD
Aspire Go 15 Laptop - AG15-31P-P5TG,$189.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-pure-silver-06-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,Intel N200 (Quad-core),Intel UHD (shared),"15.6"" Full HD (1920 x 1080), 16:9, 60 Hz",4 GB LPDDR5,128 GB SSD
Acer Chromebook 315 - CB315-5H-C7KX,$249.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-pure-silver-09-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Chrome OS,Intel N100 (Quad-core),Intel UHD (shared),"15.6"" Full HD (1920 x 1080), 16:9, IPS, 60 Hz",4 GB LPDDR5,128 GB SSD + 128 GB Flash
Aspire 3 Laptop - A315-24P-R7VH,$349.99,https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-311-cb311-12h-12ht-non-fingerprint-non-backlit-pure-silver-08-custom_nx.ku0aa.001.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,"AMD Ryzen 3 7320U (Quad-core, 2.40 GHz)",AMD Radeon (shared),"15.6"" Full HD (1920 x 1080), 16:9, IPS, 60 Hz",8 GB LPDDR5,128 GB SSD
Aspire 5 Laptop - A514-55-578C,$279.99,https://static-ecpa.acer.com/media/catalog/product/a/s/aspire-1-a115-32-non-fp-non-backlit-silver_modelmain_1.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,"Intel Core i5-1235U (Deca-core, 1.30 GHz)",Intel Iris Xe (shared),"14"" Full HD (1920 x 1080), 16:9",8 GB DDR4 SDRAM,512 GB SSD
Aspire 3 Laptop - A314-23P-R0JK,$299.99,https://static-ecpa.acer.com/media/catalog/product/a/s/aspire-1_a115-32_non-fp-non-backlit_silver_gallery_01_1.png?optimize=high&bg-color=255 255 255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg,Windows 11,"AMD Ryzen 5 7520U (Quad-core, 2.80 GHz)",AMD Radeon (shared),"14"" Full HD (1920 x 1080), 16:9, 60 Hz",8 GB LPDDR5,256 GB SSD
